freelancer_id,project_id,skills_match,experience_years,project_budget,freelancer_rate,availability,previous_rating,interview_score,training_score,accepted
10922,58319,0.285,6,4101,61,0.448,3.22,89.4,66.0,0
10025,50249,0.254,3,7857,49,0.662,3.66,63.3,77.8,0
10680,56143,0.349,3,8500,84,0.719,4.16,86.7,70.5,0
10152,51422,0.912,3,5816,64,0.63,4.16,86.0,71.1,1
10775,57021,1.0,4,4926,49,0.836,3.23,68.9,56.0,1
10656,55926,1.0,3,8648,72,0.542,4.97,89.5,92.7,1
10435,54039,0.677,6,2171,50,0.485,3.6,73.7,77.0,0
10503,54665,0.237,2,3559,48,0.636,2.67,69.3,82.2,0
10825,57467,0.317,1,1813,52,0.68,3.24,57.0,51.4,0
10519,54795,0.746,2,8400,58,0.742,2.97,65.1,45.0,1
10382,53551,0.541,8,4478,60,0.736,3.47,74.0,39.9,1
10833,57540,0.69,2,5266,30,0.683,2.11,51.3,46.8,0
10168,51562,0.353,2,5257,63,0.652,2.91,82.0,65.1,0
10496,54598,0.326,4,2858,40,0.893,2.14,54.5,31.9,0
10379,53529,1.0,5,7200,74,0.726,3.23,70.9,64.3,0
10464,54323,1.0,6,4837,55,0.636,3.1,76.2,73.1,0
10699,56324,0.699,3,6073,61,0.616,3.89,85.4,74.9,1
10777,57041,0.828,1,6537,22,0.811,1.58,38.7,34.4,1
10749,56776,1.0,5,4705,51,0.556,3.12,50.9,33.0,0
10293,52706,0.997,0,7900,18,0.77,1.9,40.8,30.9,1
10898,58079,1.0,3,7302,69,0.664,2.37,54.0,49.2,0
10428,53963,0.617,2,8804,25,0.915,1.61,36.6,23.1,1
10173,51596,0.162,0,1911,56,0.982,1.96,43.7,41.8,0
10797,57228,0.79,1,2278,66,0.457,2.26,58.2,34.3,0
10284,52623,1.0,9,7005,50,0.687,3.49,67.2,54.1,0
10674,56085,0.351,1,6498,73,0.817,2.83,81.2,73.8,0
10573,55271,0.329,2,7765,67,0.577,2.92,75.8,82.6,0
10689,56219,1.0,2,3993,53,0.906,2.53,39.7,14.4,0
10009,50094,0.508,1,1716,72,0.555,3.94,97.1,77.1,1
10465,54337,0.323,8,4666,73,0.632,2.92,74.5,63.2,0
10762,56903,0.34,5,7916,58,0.597,3.08,77.0,62.8,1
10216,51993,0.876,8,1340,54,0.621,3.58,72.2,72.5,1
10021,50213,0.138,3,7982,23,0.865,2.17,37.1,46.4,1
10322,52969,0.835,3,4698,28,0.763,2.19,34.0,28.4,0
10119,51124,0.496,2,5518,36,0.911,2.84,54.2,47.0,0
10556,55120,0.195,3,934,43,0.565,1.47,30.4,28.7,0
10296,52719,1.0,6,1576,75,0.599,4.27,74.3,73.2,1
10568,55214,0.822,4,5094,80,0.53,4.11,93.1,85.6,1
10245,52247,0.494,7,7164,89,0.619,4.43,95.7,88.9,1
10201,51865,1.0,1,8520,60,0.78,3.21,61.9,36.3,0
10662,55983,1.0,6,4917,56,0.682,3.09,47.5,54.5,1
10457,54263,0.28,4,4095,70,0.674,4.06,85.2,77.5,0
10174,51609,0.749,1,6490,64,0.97,2.32,51.8,46.7,0
10282,52596,0.45,8,5856,65,0.637,4.45,100.0,95.7,1
10603,55497,0.414,5,7999,63,0.672,2.72,71.5,84.7,0
10398,53707,0.76,0,3941,31,0.859,1.57,26.7,29.7,0
10031,50316,0.897,3,924,71,0.625,4.16,84.3,73.6,0
